n_components,loglik,aic,bic
2,-218199.14778667418,436408.29557334835,436457.74233852315
3,-216781.53236491722,433579.06472983444,433658.17955411406
4,-216276.77180158117,432575.54360316234,432684.32648654684
5,-216527.14043433644,433082.2808686729,433220.73181116226
