bin_start,probability
1.330000000000000000e+03,4.804161776716286736e-05
1.340000000000000000e+03,4.117852951471102723e-05
1.350000000000000000e+03,6.176779427206654084e-05
1.360000000000000000e+03,7.549397077697022110e-05
1.370000000000000000e+03,5.490470601961470749e-05
1.380000000000000000e+03,5.490470601961470749e-05
1.390000000000000000e+03,4.117852951471102723e-05
1.400000000000000000e+03,5.490470601961470749e-05
1.410000000000000000e+03,6.176779427206654084e-05
1.420000000000000000e+03,6.863088252451838775e-05
1.430000000000000000e+03,3.431544126225919387e-05
1.440000000000000000e+03,8.922014728187390136e-05
1.450000000000000000e+03,3.431544126225919387e-05
1.460000000000000000e+03,2.058926475735551361e-05
1.470000000000000000e+03,5.490470601961470749e-05
1.480000000000000000e+03,6.176779427206654084e-05
1.490000000000000000e+03,5.490470601961470749e-05
1.500000000000000000e+03,4.117852951471102723e-05
1.510000000000000000e+03,7.549397077697022110e-05
1.520000000000000000e+03,2.745235300980735374e-05
1.530000000000000000e+03,1.372617650490367687e-05
1.540000000000000000e+03,6.863088252451838436e-06
1.550000000000000000e+03,3.431544126225919387e-05
1.560000000000000000e+03,3.431544126225919387e-05
1.570000000000000000e+03,2.745235300980735374e-05
1.580000000000000000e+03,3.431544126225919387e-05
1.590000000000000000e+03,2.058926475735551361e-05
1.600000000000000000e+03,4.117852951471102723e-05
1.610000000000000000e+03,1.372617650490367687e-05
1.620000000000000000e+03,2.745235300980735374e-05
1.630000000000000000e+03,6.863088252451838436e-06
1.640000000000000000e+03,2.058926475735551361e-05
1.650000000000000000e+03,2.058926475735551361e-05
1.660000000000000000e+03,2.058926475735551361e-05
1.670000000000000000e+03,1.372617650490367687e-05
1.680000000000000000e+03,1.372617650490367687e-05
1.690000000000000000e+03,6.863088252451838436e-06
1.700000000000000000e+03,6.863088252451838436e-06
1.710000000000000000e+03,2.745235300980735374e-05
1.720000000000000000e+03,2.058926475735551361e-05
1.730000000000000000e+03,6.863088252451838436e-06
1.740000000000000000e+03,2.745235300980735374e-05
1.750000000000000000e+03,2.058926475735551361e-05
1.760000000000000000e+03,0.000000000000000000e+00
1.770000000000000000e+03,0.000000000000000000e+00
1.780000000000000000e+03,1.372617650490367687e-05
1.790000000000000000e+03,2.058926475735551361e-05
1.800000000000000000e+03,2.058926475735551361e-05
1.810000000000000000e+03,2.058926475735551361e-05
1.820000000000000000e+03,1.372617650490367687e-05
1.830000000000000000e+03,1.372617650490367687e-05
1.840000000000000000e+03,6.863088252451838436e-06
1.850000000000000000e+03,6.863088252451838436e-06
1.860000000000000000e+03,0.000000000000000000e+00
1.870000000000000000e+03,6.863088252451838436e-06
1.880000000000000000e+03,1.372617650490367687e-05
1.890000000000000000e+03,2.745235300980735374e-05
1.900000000000000000e+03,1.372617650490367687e-05
1.910000000000000000e+03,1.372617650490367687e-05
1.920000000000000000e+03,1.372617650490367687e-05
1.930000000000000000e+03,2.058926475735551361e-05
1.940000000000000000e+03,0.000000000000000000e+00
1.950000000000000000e+03,2.058926475735551361e-05
1.960000000000000000e+03,6.863088252451838436e-06
1.970000000000000000e+03,0.000000000000000000e+00
1.980000000000000000e+03,0.000000000000000000e+00
1.990000000000000000e+03,1.372617650490367687e-05
2.000000000000000000e+03,6.863088252451838436e-06
2.010000000000000000e+03,6.863088252451838436e-06
2.020000000000000000e+03,0.000000000000000000e+00
2.030000000000000000e+03,0.000000000000000000e+00
2.040000000000000000e+03,4.186483833995621327e-04
