distribution,aic,bic,loglik,ks_statistic,ks_pvalue,n_samples,param_c,param_loc,param_scale,param_d,param_a,ad_statistic,param_s,param_b
genpareto,1913811.762844256,1913841.4309033607,-956902.881422128,0.06335031804684343,0.0,145707,-0.1204523166122669,0.0,295.23189041213755,,,,,
weibull,1915788.353152514,1915818.0212116188,-957891.176576257,0.06902119218408986,0.0,145707,1.0911498459561755,0.0,273.11299630918654,,,,,
burr12,1915792.0708420908,1915831.6282542306,-957892.0354210454,0.0690694233398147,0.0,145707,1.0907521373432896,0.0,1960296.012207973,16068.397527132798,,,,
gamma,1916948.9307508303,1916978.5988099352,-958471.4653754152,0.07835382022023568,0.0,145707,,0.0,247.11482622132183,,1.072230767478549,,,
exponential,1917389.9282347793,1917409.706940849,-958692.9641173896,0.08491640331594169,0.0,145707,,0.0,264.96411977461617,,,,,
loglogistic,1951500.0433779727,1951529.7114370775,-975747.0216889863,0.09113490926858547,0.0,145707,1.429164699571464,0.0,184.15506958990966,,,,,
lognormal,1958320.7443951296,1958350.4124542344,-979157.3721975648,0.13106523465678188,0.0,145707,,0.0,155.3316235972916,,,4665.033355591091,1.2911619981931564,
pareto,2233423.7177133816,2233453.3857724867,-1116708.8588566908,0.36494587116626953,0.0,145707,,0.0,1.0,,,,,0.19819396390508165
